date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:10	3480/3480	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202014%2015:36:33%20GMT	http://gpgproperty.com.au/Content/lib/Banner.png	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/Banner.22.delayed	(from http://gpgproperty.com.au/Content/Site.css)
01:36:10	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.23.delayed	(from http://gpgproperty.com.au/Index/Index)
01:36:11	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.24.delayed	(from http://gpgproperty.com.au/Index/Home)
01:36:11	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:33%20GMT	http://gpgproperty.com.au/Index/News/20	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/20.html	(from http://gpgproperty.com.au/Index/Home)
01:36:12	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:34%20GMT	http://gpgproperty.com.au/Index/News/19	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/19.html	(from http://gpgproperty.com.au/Index/Home)
01:36:12	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:34%20GMT	http://gpgproperty.com.au/Index/News/18	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/18.html	(from http://gpgproperty.com.au/Index/Home)
01:36:13	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:34%20GMT	http://gpgproperty.com.au/Index/News/16	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/16.html	(from http://gpgproperty.com.au/Index/Home)
01:36:14	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:36%20GMT	http://gpgproperty.com.au/Index/News/15	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/15.html	(from http://gpgproperty.com.au/Index/Home)
01:36:14	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:37%20GMT	http://gpgproperty.com.au/Index/News/14	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/14.html	(from http://gpgproperty.com.au/Index/Home)
01:36:15	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:37%20GMT	http://gpgproperty.com.au/Index/News/13	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/13.html	(from http://gpgproperty.com.au/Index/Home)
